remoteId,published,modified,Titolo,Eventuale sottotitolo,Tipo di evento,Identificativo dell'evento,Date ed orari dell'evento,Descrizione breve,Argomenti,Descrizione completa,Galleria immagini,Video,Iniziativa di cui fa parte,Destinatari,Informazioni sui destinatari,Luogo dell'evento,lat,lon,address,Presenti all'evento,E' gratuito,Informazioni sui costi,Offerta,Locandina,Allegati,Punti di contatto,Contatti,Ulteriori informazioni,Organizzatori,Informazioni sugli organizzatori,Patrocinio,Sponsor,Persone o organizzazioni che hanno composto un'opera eseguita durante l’evento,Chi presenta,Servizio di traduzione curato da,Lingue usate all'evento,Numero massimo di posti,Tempo di lettura,Parole chiave,Valutazione dell'evento,Appuntamenti,Recensione,Indicato per
2024-01-29T16:02:09+01:00,2024-01-29T16:02:09+01:00,Hockey su ghiaccio: Fassa Falcons vs. EHC Lustenau,,Evento sportivo,,,"Campionato di hockey su ghiaccio dell’Alps Hockey League, la lega formata da squadre delle federazioni austriaca, italiana e slovena","Tempo libero
Sport","Segui le partite in casa dei Fassa Falcons, la squadra di hockey su ghiaccio che da anni milita con successo nell’Alps Hockey League. I biancoazzurri, guidati dal capitano Martin Castlunger, sfidano questa sera i giocatori del club austriaco EHC Lustenau. Ingresso: € 12 adulti, € 8 ragazzi fino a 12 anni. Inizio partita alle 20.30 allo Stadio G. Scola di Alba di Canazei.Come da tradizione, la stagione prevede un girone di andata e uno di ritorno con 30 partite per ciascuna delle 16 formazioni in gioco (7 dall'Italia, 7 dall'Austria e 2 dalla Slovenia). Al termine di questa sessione, le prime 6 classificate, già qualificate per i playoff, andranno a formare il Master Round, ricevendo punti bonus in base alla classifica della regular season ed affrontandosi altre due volte per ottenere la migliore posizione di partenza ai quarti di finale dei playoff, previsti dal 5 marzo. Le rimanenti 10 compagini saranno divise in due gironi di qualificazione e, dopo un round robin, le prime due squadre di ciascun gruppo si affronteranno in una serie &quot,best-of-three&quot, (pre-playoff, dal 27 febbraio al 2 marzo) per i due posti rimanenti nel tabellone dei playoff.Il calendario delle partire potrebbe subire variazioni. Biglietti acquistabili anche online.",,,,Adulti,Bambini,Famiglie,Giovani,,,,,,,,,,"Contatti Ufficio Segreteria, Contratti e Commercio",,,,,,,,,,,0.0,2.0,,,,,
2024-03-04T09:58:06+01:00,2024-03-04T11:23:15+01:00,26^ edizione del festival DOLOMITI SKI JAZZ - concerto John Scofield “Yankee Go Home”,,Manifestazione artistica,,,Sabato 16 marzo 2024 - ore 21:00 Teatro NAVALGE Moena la 26^ edizione del festival DOLOMITI SKI JAZZ presenta il gruppo del grande chitarrista Star del Jazz mondiale John Scofield “Yankee Go Home”,Tempo libero,"John Scofield è nato in Ohio nel 1951, Dopo un apprendistato nei gruppi di Gerry Mulligan, Chet Baker, Billy Cobham &amp, George Duke, Charles Mingus, Gary Burton e David Liebman, nel 1982 entra a far parte della band di Miles Davis. Da allora la sua carriera non ha conosciuto momenti di arresto, tra le collaborazioni successive spiccano il vertice chitarristico con Pat Metheny e il duraturo sodalizio iniziato nel 1998 con il trio Medeski, Martin &amp, Wood. Decisamente uno dei chitarristi jazz più influenti della Storia del Jazz!“Yankee Go Home” è l’affettuoso titolo che John Scofield ha dato al suo ultimo progetto che affronta un repertorio musicale della sua terra natale. Una band “roots-rock-jazz” che spazia tra i successi americani del rock, del folk e del jazz. In questo progetto Scofield si riconnette con molte delle radici Rock’n’Roll di quando era adolescente, naturalmente colorate dai suoi 50 anni di grande carriera della musica Jazz.  Sarà accompagnato da Jon Cowherd (tastierista con Brian Blade Fellowship e Cassandra Wilson tra gli altri), Vicente Archer (contrabbasso con Robert Glasper, Louis Hayes e Scofield Combo 66 ecc.) Josh Dion (batteria). Nel repertorio troveremo tra gli altri alcuni classici di Neil Young, Stevie Wonder, Grateful Dead, Buddy Holly accanto a perle di Pharoah Sanders e Leonard Bernstein, oltre ad una manciata di brani originali dello stesso Scofield.Ingresso 25 euroI biglietti sono disponibili in prevendita on line:https://www.trentinospettacoli.it/tag_eventi/dolomitiskijazz/",,,,Adulti,Famiglie,Giovani,,Teatro Navalge,,,,"Euro 25,00",,https://www.comune.moena.tn.it/content/download/3286/48935/5/John+Scofield+%E2%80%9CYankee+Go+Home%E2%80%9D+.pdf,,Dolomiti Ski Jazz,,,,,,,,,,,0,2.0,,,,,,
2024-04-03T15:36:45+02:00,2024-04-03T16:14:50+02:00,Le Comunità energetiche 10.4.2024 ore 20:30 Sala minicivica,,Evento culturale,,,"Una Comunità Energetica è un'associazione che produce e condivide energia rinnovabile, per generare e gestire in autonomia energia verde a costi vantaggiosi, riducendo nettamente le emissioni di CO2 e lo spreco energetico.","Ambiente
Energia
Energie rinnovabili
Risparmio energetico
Innovazione","Cos’è una comunità energeticaUna comunità energetica è costituita quando dei consumatori (cittadini, piccole imprese/artigiani, enti locali e territoriali) che si trovano sotto la stessa cabina elettrica primaria, si aggregano in forma di comunità per condividere l’energia prodotta dagli impianti detenuti dalla comunità stessa. Viene più semplice pensare all’energia elettrica ma una comunità energetica può condividere anche energia termica.La comunità non deve rispondere ad una particolare forma giuridica (associazione, cooperativa, impresa) ma deve essere senza scopo di lucro e garantire il diritto alla partecipazione nella governance da parte di tutti i soci. Qualora si trattasse di un’impresa, la produzione e vendita di energia non deve essere lo scopo principale dell’attività imprenditoriale.L’obiettivo principale della comunità è quello di fornire benefici ambientali, economici o sociali a livello di comunità, ai suoi soci o membri o alle aree locali in cui opera. Oltre alla produzione e condivisione di energia e il reinvestimento dei profitti per scopi ambientali, economici o sociali, la comunità può produrre altri servizi rivolti ai membri, per esempio interventi integrati di domotica, interventi di efficienza energetica, servizi di ricarica veicoli elettrici. La comunità può inoltre assumere il ruolo di società di vendita al dettaglio e può offrire servizi ancillari e di flessibilità.",,,,Adulti,Famiglie,Giovani,,Palazzo del Municipio,,,,,,https://www.comune.moena.tn.it/content/download/3429/51851/4/9ea3d6c6-3ca8-49c0-8385-a629cedea47b.JPG,,Ufficio Segreteria,,,,,,,,,,Italiano,0,2.0,,,,,,
2024-05-15T14:07:02+02:00,2024-05-15T14:12:19+02:00,Cartoline da... il mondo che vorrei,,Evento culturale,,,lettura ad alta voce e laboratorio per bambini ,"Istruzione
Biblioteca
Prima infanzia
Scuola materna
Tempo libero
Patrimonio culturale","Storie a tema ecologico, di mondi reali e immaginari e creazione dicartoline personalizzate con l'utilizzo di materiali e ritagli di recupero.",,,,Bambini,bambini e ragazzi dai 6 ai 12 anni,Biblioteca,,,,,,https://www.comune.moena.tn.it/content/download/3531/53105/2/Letture+Jessica+Sotera_20240515_093432_0000+%281%29.pdf,,Contatti Biblioteca,,E' richiesta la prenotazione tramite email moena@biblio.tn.it o telefonica 0462573466,,,,,,,,Italiano,20.0,2,,,,,,,,
2024-05-24T12:45:58+02:00,2024-05-27T15:38:23+02:00,L'Alzheimer in Casa presso Biblioteca di Vigo di Fassa,,"Evento sociale,Evento culturale,Evento di formazione",,,Soluzioni per migliorare la vita in casa. Come creare un ambiente protesico e sicuro per le persone anziane e per la gestione del deterioramento cognitivo,"Questioni sociali
Assistenza agli invalidi
Assistenza sociale
Politica familiare","In questa occasione la psicologa dell’invecchiamento dott.ssa Paola Maria Taufer presenterà il suo libro “L’ALZHEIMER IN CASA”, un manuale utile per chi si trova ad accudire una persona con demenza e che contiene suggerimenti pratici per comprendere la malattia, comunicare nel modo giusto e organizzare l’ambiente domestico per garantire sicurezza e serenità.L’incontro, organizzato dal Servizio socio-assistenziale – Spazio Argento del Comun General de Fascia in collaborazione con l’APSP della Val di Fassa, l’Azienda provinciale per i Servizi sanitari e  il Comune di San Giovanni di Fassa – Sèn Jan, fa parte delle iniziative promosse all’interno del Piano Triennale del Comun General de Fascia per lo sviluppo di una Comunità Amica delle Persone con Demenza.",,,,Anziani,Adulti,Famiglie,Giovani,,Biblioteca San Giovanni di Fassa - Sèn Jan,,,,,,https://www.comune.moena.tn.it/content/download/3543/53341/2/biblio_ita+%281%29.pdf,,Ufficio Segreteria,,,,,,,,,,Italiano,0.0,2.0,,,,,
2024-05-29T17:12:34+02:00,2024-05-29T17:16:40+02:00,Zecche - come proteggersi,,"Evento culturale,Evento sociale,Evento di formazione",,,"Mercoledì 5 giugno alle ore 20:30 presso la sala &quot,Rovisi&quot, al primo piano della sede municipale assieme al Grop da Mont CAI SAT è organizzata una serata aperta al pubblico sul tema “Zecche in ambiente Alpino”.Relatori della serata il Dott. Luca Follador, medico di famiglia e  Valentina Tagliapietra delle Fondazione E. Mach.La serata rappresenta un momento di divulgazione importante per tutti i fruitori della montagna.","Agricoltura, silvicoltura e pesca
Foreste
Ambiente
Spazio verde
Tempo libero
Sport
Turismo
Viaggi","Scopo dell’incontro è anzitutto saperne di più su questo nemico che incontriamo sempre più spesso in campagna e nella media e bassa montagna, e col quale dovremo imparare a convivere, illustrando i dati che confermano una sempre più diffusa presenza delle zecche, che si stanno espandendo in molte aree e regioni dove solo fino a qualche anno fa erano assenti.Si parlerà della natura e abitudini del parassita, della sua diffusione, sulle modalità di contatto, su alcuni consigli pratici per la prevenzione.il dott. Follador informerà invece sugli aspetti medici e sanitari conseguenti la puntura da zecca.I relatori saranno poi a disposizione per rispondere alle domande del pubblico in sala",zecche,,,Adulti,Anziani,Famiglie,Giovani,,Palazzo del Municipio,,,,,,https://www.comune.moena.tn.it/content/download/3560/53595/3/Zecche+come+proteggersi.pdf,,Ufficio Segreteria,,,,,,,,,,Italiano,40.0,2.0,,,,,
2024-05-15T14:43:32+02:00,2024-05-30T16:38:45+02:00,Incontro sulle manovre salvavita e la prevenzione degli incidenti nell'età pediatrica,,Evento culturale,,,Incontro con esperti sanitari presso la sala minicivica in Piaz de Sotegrava n. 20 (ex ambulatori medici)A cura della Croce Rossa Italiana - Comitato Val di Fassa e Fiemme,"Demografia e popolazione
Nascita
Questioni sociali
Igiene pubblica",Impara a salvare la vita di un neonato o un bambino. L'incontro sulle manovre salvavita pediatriche (MSP) è rivolto a coloro che vogliano informarsi circa le tecniche di primo soccorso per intervenire su soggetti in età pediatrica vittime di ostruzione delle vie aeree da corpo estraneo o di arresto cardiaco improvviso. Vengono inoltre illustrate le regole d’oro per il sonno sicuro del lattante che propongono un corretto schema comportamentale al fine di ridurre al minimo il rischio di morte per SIDS (morte in culla).,Incontro salvavita,,,Adulti,Famiglie,Giovani,Bambini,,Palazzo del Municipio,,,,,,https://www.comune.moena.tn.it/content/download/3538/53232/5/8fb10720-de6c-4a46-8412-d05bcc502109.jpg,,Ufficio Segreteria,,,CROCE ROSSA ITALIANA,,,,,,,Italiano,0.0,2.0,,,,,
2024-05-27T16:26:56+02:00,2024-06-12T11:11:43+02:00,Banco settimanale vendita fiori e piante in strada C. Dellantonio Bora - piazzale in fondo Troi del Sèn Vile,,Evento stagionale commerciale,,,Mercato settimanale vendita fiori e piante strada C. Dellantonio Bora - piazzale in fondo Troi del Sèn Vile,"Agricoltura, silvicoltura e pesca
Economia
Commercio ambulante",Mercato settimanale maggio - giugno e ottobre - novembre vendita piantine e fiori,,,,Adulti,Anziani,Famiglie,Giovani,,Palazzo del Municipio,,,,"Vendita prodotti, piantine, fiori  per orti e  giardini",,,,Ufficio Segreteria,,,,,,,,,,Italiano,0.0,2.0,,,,,
2024-06-13T09:19:02+02:00,2024-06-13T09:43:04+02:00,Bau-Bau - Storie di cuccioli,,Evento culturale,,,Letture ad alta voce per bambini fino ai 5 anni.,"Istruzione
Biblioteca
Prima infanzia
Scuola materna","Incontro di lettura ad alta voce dedicato ai cuccioli e agli animali! Ascolteremo storie di pelosetti coraggiosi, avventurosi e coccolosi, che ci faranno conoscere il loro fantastico mondo. Un'occasione speciale per stimolare la fantasia, l'amore per la lettura e il rispetto per i nostri amici a quattro zampe. Età consigliata: 0-5 anni. Ingresso gratuito!",,,,Bambini,Famiglie,,Biblioteca,,,,,,https://www.comune.moena.tn.it/content/download/3570/53942/2/Bau+Bau%21+Storie+di+cuccioli+%282%29.pdf,,Contatti Biblioteca,,,,,,,,,,,0,2,,,,,,,
2024-10-25T09:40:22+02:00,2024-10-25T09:40:22+02:00,Autunno - Storie di stagione,,Evento culturale,,,Letture ad alta voce e laboratorio creativo.Per bambini dai 4 anni,"Istruzione
Biblioteca
Prima infanzia
Scuola materna
Tempo libero
Patrimonio culturale","Le foglie cambiano colore, gli animali si preparano al letargo e noi? ⭐ Noi vi invitiamo ad incontro di lettura ad alta voce per esplorare insieme la magia di questa stagione e per vivere l'autunno tra le pagine dei nostri libri!A seguire laboratorio creativo per bambini.",Autunno - Letture di Stagione ,,,Bambini,Famiglie,Ingresso libero e gratuito,Biblioteca,0,0,,,,,,https://www.comune.moena.tn.it/content/download/3736/56326/1/Storie+di+stagione+%282%29.png,,Contatti Biblioteca,,,Biblioteca,,,,,,,Italiano,0.0,2.0,,,,,
