remoteId,published,modified,Titolo,Eventuale sottotitolo,Tipo di evento,Identificativo dell'evento,Date ed orari dell'evento,Descrizione breve,Argomenti,Descrizione completa,Galleria immagini,Video,Iniziativa di cui fa parte,Destinatari,Informazioni sui destinatari,Luogo dell'evento,lat,lon,address,Presenti all'evento,E' gratuito,Informazioni sui costi,Offerta,Locandina,Allegati,Punti di contatto,Contatti,Ulteriori informazioni,Organizzatori,Informazioni sugli organizzatori,Patrocinio,Sponsor,Persone o organizzazioni che hanno composto un'opera eseguita durante l’evento,Chi presenta,Servizio di traduzione curato da,Lingue usate all'evento,Numero massimo di posti,Tempo di lettura,Parole chiave,Valutazione dell'evento,Appuntamenti,Recensione,Indicato per
2023-11-21T16:44:01+01:00,2023-11-22T10:03:30+01:00,Voglio vivere così,,"Evento culturale,Manifestazione artistica",,,"Commedia musicale dagli anni 30' ai giorni nostri 

  
    
      
    
		  		
	    
	    
    
                                        
                                                                                                                                                ",Tempo libero,Commedia musicale,404929087_3471504766328593_7740735758272170410_n,,,Adulti,Anziani,Famiglie,Giovani,,Teatro Valle dei Laghi,,,,,,https://cvallelaghi.pnrr.comunweb.it/content/download/1386/26881/6/404929087_3471504766328593_7740735758272170410_n.jpg,,Contatti Teatro Valle dei Laghi,,,,,,,,,,Italiano,400.0,2.0,,,,,
2023-12-14T10:17:38+01:00,2023-12-22T10:14:06+01:00,Consiglio Comunale ,,Evento politico,,,Consiglio Comunale ,Politica,Consiglio Comunale ,CONVOCAZIOE CONSIGLIO,,,Adulti,Anziani,Famiglie,Giovani,,,,,,,,https://cvallelaghi.pnrr.comunweb.it/content/download/1428/27575/5/convocazione+28+dicembre_signed.pdf,,Contatti Ufficio Segreteria,,,,,,,,,,Italiano,0.0,2.0,,,,,
2024-02-07T12:06:38+01:00,2024-02-12T10:40:47+01:00,"""Mago per Svago""",,"Evento culturale,Manifestazione artistica,Spettacolo teatrale",,,"Spettacolo teatrale per ragazzi &quot,Mago per Svago&quot,.",Tempo libero,"&quot,L'abile teatro&quot, presenta lo spettacolo &quot,Mago per Svago&quot, domenica 11 febbraio alle ore 17.00 presso il Teatro Valle dei Laghi.",Spettacolo teatrale,,,Bambini,Famiglie,Giovani,,Teatro Valle dei Laghi,,,,,,https://www.comune.vallelaghi.tn.it/content/download/3840/48361/5/CTT_VALLEdeiLAGHI_PROSA23-24_manifesto31x46.pdf,,Contatti Teatro Valle dei Laghi,,,,,,,,,,,0,2.0,,,,,,
2024-02-07T12:30:05+01:00,2024-02-12T11:55:48+01:00,"""Il sogno di Shakespeare"" ",,"Evento culturale,Manifestazione artistica,Spettacolo teatrale",,,"Spettacolo teatrale &quot,Il Sogno di Shakespeare&quot,",Tempo libero,"&quot,I Nuovi scalzi - Teatro di Bari&quot, propongono lo spettacolo &quot,Il sogno di Shakespeare&quot, venerdì 29 marzo alle ore 21.00 presso il Teatro Valle dei Laghi.",Spettacolo teatrale,,,Adulti,Anziani,Giovani,,Teatro Valle dei Laghi,,,,,,https://www.comune.vallelaghi.tn.it/content/download/3845/48514/5/CTT_VALLEdeiLAGHI_PROSA23-24_manifesto31x46.pdf,,Contatti Teatro Valle dei Laghi,,,,,,,,,,,0,2.0,,,,,,
2024-02-12T12:10:35+01:00,2024-02-12T12:10:35+01:00,"""Josée, la tigre e i pesci""",,"Manifestazione artistica,Proiezione cinematografica",,,"Film &quot,Josée, la tigre e i pesci&quot,.",Tempo libero,"Proiezione del film d'animazione &quot,Josée, la tigre e i pesci&quot, domenica 25 febbraio alle ore 17.00 presso il Teatro Valle dei Laghi.",cinema,,,Adulti,Anziani,Famiglie,Giovani,,Teatro Valle dei Laghi,,,,,,https://www.comune.vallelaghi.tn.it/content/download/3918/49957/1/CTT_VEZZANO_CINEMA-nov-dic23_loc31x46cm.pdf,,Contatti Teatro Valle dei Laghi,,,,,,,,,,,,2.0,,,,,
2024-02-12T12:05:00+01:00,2024-02-12T12:06:39+01:00,"""Appuntamento a Land's End""",,"Evento culturale,Manifestazione artistica,Proiezione cinematografica",,,"Film &quot,Appuntamento a Land's End&quot,.",Tempo libero,"Proiezione del film &quot,Appuntamento a Land's End&quot, sabato 24 febbraio alle ore 20.30 presso il Teatro Valle dei Laghi.",cinema,,,Adulti,Anziani,Giovani,,Teatro Valle dei Laghi,,,,,,https://www.comune.vallelaghi.tn.it/content/download/3916/49912/2/CTT_VEZZANO_CINEMA-gen-feb24_loc31x46cm.pdf,,Contatti Teatro Valle dei Laghi,,,,,,,,,,,0,2.0,,,,,,
2024-02-12T09:31:22+01:00,2024-02-13T10:06:53+01:00,Il Colore dei Sensi,,"Evento culturale,Evento di formazione,Laboratorio",,,Percorso in quattro tappe per valorizzare l'uso dei sensi nell'espressione artistica condotto da Daniela Usai.,Tempo libero,"Il Gruppo Culturale N.C. Garbari organizza “Il Colore dei Sensi”, un percorso in 4 tappe per valorizzare l’uso dei sensi nell’espressione artistica condotto da Daniela Usai.Il corso si terrà i mercoledì del mese di febbraio alle ore 20.30 presso la sede dell’associazione a Vezzano (Via Dante, 7).Ogni incontro sarà a tema:


Aguzza la vista - per il superamento dello stereotipo nel disegno a matita,

Vedere con le mani - percepire con il tatto e rappresentare con pastelli e carboncini,

Il colore dei suoni - dalla vibrazione sonora a quella emozionale con la tecnica dello scarabocchio a penna e pennarello),

Odori e sapori - rievocare ricordi e sensazioni con la tecnica del collage.


È prevista una quota di iscrizione di 15€ (comprensiva della tessera associativa) da versare al primo incontro.Posti limitati per un massimo di 10 iscritti (iscrizione a gruppoculturale@virgilio.it)Per maggiori informazioni consultare il link: https://www.gruppoculturalegarbari.it/serate-e-corsi/il-colore-dei-sensi/",colori,,,Adulti,Giovani,Anziani,,,,,,,,https://www.comune.vallelaghi.tn.it/content/download/3907/49630/4/IL_COLORE_DEI_SENSI.pdf,,"Contatti Gruppo culturale "" Nereo Cesare Garbari "" del Distretto di Vezzano",,,,,,,,,,,0,2.0,,,,,,
2024-02-15T11:26:35+01:00,2024-02-15T11:26:35+01:00,"""Indifferenza: Crisi di legame sociale, nuove solitudini e possibilità creative”",,"Evento culturale,Conferenza e summit,Convegno / Conferenza",,,"Presentazione del libro &quot,Indifferenza: Crisi di legame sociale, nuove solitudini e possibilità creative&quot, di Ugo Morelli.","Tempo libero
Patrimonio culturale","Il Gruppo Culturale “N.C. Garbari”, in collaborazione con la Biblioteca Vallelaghi e la Gestione Associata della Cultura della Comunità della Valle dei Laghi, organizza la serata di presentazione del libro “Indifferenza: Crisi di legame sociale, nuove solitudini e possibilità creative” del prof. Ugo Morelli.L’evento si terrà venerdì 16 febbraio alle ore 20.30 presso il foyer del Teatro Valle dei Laghi.Partecipazione libera e aperta a tutti.Per info: gruppoculturale@virgilio.it // www.gruppoculturalegarbari.it",presentazione libro/gruppo di lettura,,,Giovani,Adulti,Anziani,,Teatro Valle dei Laghi,,,,,,https://www.comune.vallelaghi.tn.it/content/download/3947/50536/1/UGO+MORELLI.jpg,,"Contatti Gruppo culturale "" Nereo Cesare Garbari "" del Distretto di Vezzano",,,,,,,,,,,,2.0,,,,,,
2024-02-26T09:52:51+01:00,2024-02-29T11:02:24+01:00,Non ci casco!,,"Evento sociale,Incontro con esperti",,,Incontro pubblico sulla prevenzione delle truffe e dei furti.,Questioni sociali,"Il Comune di Vallelaghi, in collaborazione con i Carabinieri di Vezzano, organizza due serate pubbliche sulla prevenzione delle truffe e dei furti.Gli incontri si terranno:-          Martedì 5 marzo alle ore 20.00 presso la Sala Braidon di Terlago,-          Martedì 12 marzo alle ore 20.00 presso il Teatro di Padergnone,Interverranno il Sindaco del Comune di Vallelaghi Miori Lorenzo e il Comandante della stazione dei carabinieri di Vezzano Luogotenente C.S. Cofrancesco Massimo.",non ci casco ,,,Adulti,Anziani,Famiglie,Giovani,,,,,,,,https://www.comune.vallelaghi.tn.it/content/download/3992/51405/3/SERATA+TRUFFA.pdf,,Contatti Ufficio Segreteria,,,,,,,,,,,0.0,2.0,,,,,
2024-02-28T16:44:13+01:00,2024-02-29T16:37:38+01:00,Camminare con la demenza,,"Giornata informativa,Incontro con esperti",,,Serata informativa aperta alla cittadinanza,"Demografia e popolazione
Volontariato
Questioni sociali
Assistenza agli invalidi
Assistenza sociale
Integrazione sociale
Politica familiare","Serata informativa Camminare con la demenza Paesi a misura delle persone.Al termine aperitivo del circolo anziani &quot,el Fogolar&quot, di Terlago",anziani,,,Adulti,Anziani,Famiglie,,Teatro Valle dei Laghi,,,,,,https://www.comune.vallelaghi.tn.it/content/download/4000/51550/5/locandina+camminare.pdf,,Comunita' Valle dei Laghi,,,,,,,,,,,0,2.0,,,,,,
