remoteId,published,modified,Titolo,Eventuale sottotitolo,Tipo di evento,Identificativo dell'evento,Date ed orari dell'evento,Descrizione breve,Argomenti,Descrizione completa,Galleria immagini,Video,Iniziativa di cui fa parte,Destinatari,Informazioni sui destinatari,Luogo dell'evento,lat,lon,address,Presenti all'evento,E' gratuito,Informazioni sui costi,Offerta,Locandina,Allegati,Punti di contatto,Contatti,Ulteriori informazioni,Organizzatori,Informazioni sugli organizzatori,Patrocinio,Sponsor,Persone o organizzazioni che hanno composto un'opera eseguita durante l’evento,Chi presenta,Servizio di traduzione curato da,Lingue usate all'evento,Numero massimo di posti,Tempo di lettura,Parole chiave,Valutazione dell'evento,Appuntamenti,Recensione,Indicato per
b222fd4ec2db97bdc37caf16d42e0682,2024-01-25T16:53:50+01:00,2024-01-25T16:53:50+01:00,Gran Carnevale Giudicariese,,"Sagra,Sfilata",,,"Torna a Tione di Trento, il Gran Carnevale Giudicariese, con un calendario ricchissimo di eventi e manifestazioni per una settimana all’insegna del divertimento e della goliardia.",Tempo libero,"Vanta una storia lunga 135 anni e le prime testimonianze riguardanti lo svolgimento di questa celebrazione risalgono al 1887, quando si preparavano delle feste in piazza e si distribuivano gratuitamente i bigoi alla cittadinanza.Le manifestazioni che si susseguiranno in queste giornate sono sempre caratterizzate da elementi di novità, ma allo stesso tempo pescano da quella che ormai è tradizione del paese.Oggi sono numerosi gli eventi che coinvolgono la borgata a partire dal giro della regina del Gran Carnevale Giudicariese, e delle sue vallette, che nei giorni precedenti la settimana grassa faranno visita alle scuole materne del territorio, alla scuola musicale giudicariese e al circolo anziani di Tione.Il vero e proprio carnevale tionese si apre con la consegna da parte del sindaco di Tione delle chiavi del Paese alla Regina del Carnevale che le conserverà fino al martedì grasso.",Carnevale,,,"Adulti,Anziani,Bambini,Famiglie,Giovani",,,,,,,,,,,,Contatti Azienda per il Turismo Terme di Comano Dolomiti di Brenta,,,,,,,,,,,0,2,,,,,
a1a28a8ec91d0d4779e7d89d45a87c48,2024-02-22T09:41:08+01:00,2024-02-22T09:41:08+01:00,Trecce Rosse - Spettacolo teatrale,,Spettacolo teatrale,,,Nell'ambito della stagione teatrale 2023/2024 presso il teatro Parrocchiale don Bosco a Ponte Arche si terrà lo spettacolo teatrale ;Trecce Rosse; a cura del Teatro del Drago,Tempo libero,Domenica 03 marzo 2024 ad ore 17.30 presso il teatro parrocchiale don Bosco si terrà lo spettacolo teatrale ;Trecce Rosse; ,,,,"Bambini,Famiglie",,,,,,,,"Spettacolo nell'ambito del progetto ;Teatro Ragazzi;Biglietto di ingresso € 5,00",,https://www.comune.comanoterme.tn.it/content/download/2137/29451/1/CTT_GIUDICARIE_PROSA23-24_teatro_locSPETTACOLI_A3-v06-23+COMANO+TERME_page-0001.jpg,,Contatti ufficio segreteria,,,,,,,,,,,0,2,,,,,
c0beec302619deda3eea9a8154a491e9,2024-03-21T08:27:18+01:00,2024-03-21T08:27:18+01:00,Giornate FAI di primavera,,Evento culturale,,,"Sabato 23 e domenica 24 marzo torna, per la 32^ edizione, le Giornate FAI di Primavera, evento dedicato al patrimonio culturale e paesaggistico del nostro Paese","Tempo libero
Patrimonio culturale
Turismo","
Sabato 23 e domenica 24 marzo 2024 tornano, per la trentaduesima edizione, le Giornate FAI di Primavera, l’amato e atteso evento di piazza che il FAI – Fondo per l’Ambiente Italiano ETS dedica ogni anno al patrimonio culturale e paesaggistico del nostro Paese. Durante il fine settimana – animato e promosso con entusiasmo dalla Delegazione e dai Gruppi FAI, insieme a tutti i volontari della Rete Territoriale della Fondazione – saranno proposte speciali visite a contributo in centinaia di luoghi in tutta Italia, spesso inaccessibili o semplicemente insoliti, originali, curiosi, poco conosciuti e valorizzati.La Delegazione FAI di Trento e il Gruppo FAI Giovani di Trento organizzano le Giornate d’Autunno nel Bleggio, proponendo cinque aperture:


Palazzo d'Arco - Trentini

Palazzo Trentini: collezione gioielli etnici (solo per iscritti FAI)

Chiesa di San Felice - Bono

Chiesa di Santa Croce

Castel Restor


",,,,"Adulti,Famiglie,Giovani,Anziani",,,,,,,,"Le visite, per le quali Non è richiesta prenotazione, saranno a ciclo continuo, in partenza dal banco FAI situato nei pressi degli edifici, con contributo libero a partire da Euro 3,00",,,https://www.comune.comanoterme.tn.it/ocmultibinary/download/2146/29642/1/beb804666b9673fd947f16db0a9ddee1.pdf/file/ComunicatoStampaFAILocale.pdf,Contatti ufficio segreteria,,,,,,,,,,,0,2,,,,,
fde79a427ea77a3291acc77ed1ab8448,2024-05-06T09:59:23+02:00,2024-05-06T10:02:48+02:00,Gocce di Benessere ,,Evento sportivo,,,Percorso di ginnastica dolce in acqua rivolto a persone aver 64 anni ,"Tempo libero
Sport",Percorso di ginnastica dolce per persone over 64 anni,Piscina,,,Anziani,,Piscina Acquaclub Valle delle Chiese,,,,,,"5 Incontri al costo di € 25,00",,https://www.comune.comanoterme.tn.it/content/download/2241/31477/4/546963252Locandina+PROGETTO+GINNASTICA+DOLCE+%28gocce+di+benessere%29+2024.pdf,,Contatti Ufficio Segreteria,,,,,,,,,,,0,2,,,,,
14b4157db44db084ddce2595a11ac796,2024-05-09T11:18:18+02:00,2024-05-09T11:18:18+02:00,Alimentarsi bene per restare in salute,,Giornata informativa,,,"Le APSP del territorio delle Giudicarie promuovono, nella prospettiva della promozione del benessere e di una miglior qualità della vita, organizza una serata sul tema dell'alimentazione, nutrizione ed invecchiamento attivo",Questioni sociali,"Le APSP del territorio delle Giudicarie promuovono, nella prospettiva della promozione del benessere e di una miglior qualità della vita, organizza una serata sul tema dell'alimentazione, nutrizione ed invecchiamento attivo",,,,"Anziani,Adulti",,Comunità delle Giudicarie,,,,,,,,https://www.comune.comanoterme.tn.it/content/download/2255/31815/1/548623795ALIMENTARSI+BENE+PER+RESTARE+IN+SALUTE+23+maggio+2024.pdf,,Comunità delle Giudicarie,,,,,,,,,,,0,2,,,,,
cb4c2ed1b5a7f0f065ff5981869a1b5d,2024-05-06T09:03:38+02:00,2024-05-10T08:23:21+02:00,Mercato ,,Evento stagionale commerciale,,,Il mercato si svolge tutti i 3^martedì del mese in Piazza del Mercato,"Economia
Commercio ambulante
Mercato",Il mercato si svolge tutti i 3^ martedì  del mese,,,,Adulti,,Piazza del Mercato,,,,,,,,,,"Contatti Ufficio Commercio, Leva ed Elettorale",,,,,,,,,,,0,2,,,,,
78593f84650240f154fd82af4cb7ec27,2024-05-06T09:05:10+02:00,2024-05-10T08:24:32+02:00,Mercato ,,Evento stagionale commerciale,,,Il mercato si svolge tutti i 3^martedì del mese in Piazza del Mercato,"Economia
Commercio ambulante
Mercato",Il mercato si svolge tutti i 3^ martedì del mese,,,,Adulti,,Piazza del Mercato,,,,,,,,,,"Contatti Ufficio Commercio, Leva ed Elettorale",,,,,,,,,,,0,2,,,,,
4ff73257554936a0118d484c7ad20af3,2024-05-06T09:07:19+02:00,2024-05-10T08:26:27+02:00,Mercato ,,Evento stagionale commerciale,,,Il mercato si svolge tutti i 3^martedì del mese in Piazza del Mercato,"Economia
Commercio ambulante
Mercato",Il mercato si svolge tutti i 3^ martedì del mese,,,,Adulti,,Piazza del Mercato,,,,,,,,,,"Contatti Ufficio Commercio, Leva ed Elettorale",,,,,,,,,,,0,2,,,,,
6162da55b3b5e19b23a2d8b853049036,2024-05-06T09:08:08+02:00,2024-05-10T08:27:27+02:00,Mercato ,,Evento stagionale commerciale,,,Il mercato si svolge tutti i 3^martedì del mese in Piazza del Mercato,"Economia
Commercio ambulante
Mercato",Il mercato si svolge tutti i 3^ martedì del mese,,,,Adulti,,Piazza del Mercato,,,,,,,,,,"Contatti Ufficio Commercio, Leva ed Elettorale",,,,,,,,,,,0,2,,,,,
30c46d0c6c0d3357b1c711f69fd58379,2024-05-06T09:06:29+02:00,2024-05-10T08:25:27+02:00,Mercato ,,Evento stagionale commerciale,,,Il mercato si svolge tutti i 3^martedì del mese in Piazza del Mercato,"Economia
Commercio ambulante
Mercato",Il mercato si svolge tutti i 3^ martedì del mese,,,,Adulti,,Piazza del Mercato,,,,,,,,,,"Contatti Ufficio Commercio, Leva ed Elettorale",,,,,,,,,,,0,2,,,,,
